result_id,run_id,instance_id,simulation_number,simulation_date,hours_operated,fuel_consumed,emissions_produced,energy_consumed,water_used,operational_efficiency
102,1,1,1,2024-04-11,,,3.655,126.211,1132.927,0.93
103,1,1,1,2024-04-12,,,1.006,107.954,485.338,0.085
104,1,1,1,2024-04-13,,,3.838,101.595,1365.365,0.797
105,1,1,1,2024-04-14,,,2.754,112.906,1042.467,0.719
106,1,1,1,2024-04-15,,,4.84,98.692,1003.372,0.786
107,1,1,1,2024-04-16,,,2.923,115.527,738.839,0.774
108,1,1,1,2024-04-17,,,2.936,115.032,1087.477,0.696
109,1,1,1,2024-04-18,,,2.468,141.997,771.363,0.735
110,1,1,1,2024-04-19,,,2.046,145.944,879.867,0.833
111,1,1,1,2024-04-20,,,3.972,113.645,1176.793,0.849
112,1,1,1,2024-04-21,,,2.492,140.032,849.696,0.835
113,1,1,1,2024-04-22,,,2.839,139.675,789.381,0.898
114,1,1,1,2024-04-23,,,2.273,141.943,985.079,0.881
115,1,1,1,2024-04-24,,,0.224,108.103,861.365,0.726
116,1,1,1,2024-04-25,,,2.034,131.041,1074.754,0.851
117,1,1,1,2024-04-26,,,4.609,110.512,928.247,0.812
118,1,1,1,2024-04-27,,,3.556,114.927,842.355,0.981
119,1,1,1,2024-04-28,,,2.198,131.189,1133.474,0.857
120,1,1,1,2024-04-29,,,2.909,95.676,1204.657,0.756
121,1,1,1,2024-04-30,,,2.06,126.006,1064.711,0.888
122,1,1,1,2024-05-01,,,1.856,140.606,958.21,0.801
123,1,1,1,2024-05-02,,,2.901,132.39,694.925,0.864
124,1,1,1,2024-05-03,,,1.896,145.379,931.753,0.885
125,1,1,1,2024-05-04,,,2.242,92.638,1369.42,0.755
126,1,1,1,2024-05-05,,,2.682,120.513,1030.104,0.968
127,1,1,1,2024-05-06,,,2.767,112.253,1210.501,0.852
128,1,1,1,2024-05-07,,,1.914,143.071,861.366,0.807
129,1,1,1,2024-05-08,,,2.509,105.074,774.781,0.787
130,1,1,1,2024-05-09,,,3.395,123.063,1190.079,0.803
131,1,1,1,2024-05-10,,,2.061,89.508,1121.417,0.842
132,1,1,1,2024-05-11,,,3.141,138.677,1107.535,0.863
133,1,1,1,2024-05-12,,,1.87,14.919,1029.267,0.742
134,1,1,1,2024-05-13,,,3.064,148.179,1123.504,0.879
135,1,1,1,2024-05-14,,,3.431,102.844,1125.849,0.722
136,1,1,1,2024-05-15,,,0.0,104.746,1051.354,0.864
137,1,1,1,2024-05-16,,,2.48,117.761,982.786,0.802
138,1,1,1,2024-05-17,,,5.945,120.54,827.437,0.728
139,1,1,1,2024-05-18,,,2.646,80.975,873.546,0.823
140,1,1,1,2024-05-19,,,1.861,147.8,1296.646,0.872
141,1,1,1,2024-05-20,,,1.015,124.124,730.343,0.877
142,1,1,1,2024-05-21,,,1.924,135.487,1087.679,0.869
143,1,1,1,2024-05-22,,,1.052,113.37,818.708,0.941
144,1,1,1,2024-05-23,,,1.416,158.063,783.954,0.866
145,1,1,1,2024-05-24,,,3.645,119.959,1023.087,0.791
146,1,1,1,2024-05-25,,,1.431,101.909,1051.804,0.751
147,1,1,1,2024-05-26,,,3.569,171.55,1006.917,0.875
148,1,1,1,2024-05-27,,,2.305,89.711,959.059,0.841
149,1,1,1,2024-05-28,,,2.183,127.376,781.907,0.89
150,1,1,1,2024-05-29,,,4.363,133.117,713.082,0.898
151,1,1,1,2024-05-30,,,2.828,129.879,560.076,1.045
152,1,1,1,2024-05-31,,,2.879,137.277,1686.561,1.037
153,1,1,1,2024-06-01,,,2.544,145.174,691.435,0.93
154,1,1,1,2024-06-02,,,2.965,133.825,1050.776,0.777
155,1,1,1,2024-06-03,,,2.477,104.252,902.349,0.926
156,1,1,1,2024-06-04,,,3.95,93.908,751.192,7.904
157,1,1,1,2024-06-05,,,3.57,116.54,1637.181,0.885
158,1,1,1,2024-06-06,,,1.539,81.733,1086.691,0.866
159,1,1,1,2024-06-07,,,2.096,118.03,1058.33,0.996
160,1,1,1,2024-06-08,,,3.314,112.777,840.11,0.848
161,1,1,1,2024-06-09,,,2.768,137.79,1197.887,0.874
162,1,1,1,2024-06-10,,,3.249,80.168,833.515,0.885
163,1,1,1,2024-06-11,,,4.509,137.006,957.693,0.868
164,1,1,1,2024-06-12,,,2.251,122.573,891.8,0.894
165,1,1,1,2024-06-13,,,0.174,132.803,1338.213,0.886
166,1,1,1,2024-06-14,,,2.036,140.191,637.972,0.782
167,1,1,1,2024-06-15,,,3.444,113.209,814.091,0.727
168,1,1,1,2024-06-16,,,2.221,152.93,1046.435,0.744
169,1,1,1,2024-06-17,,,1.729,106.795,1002.558,1.029
170,1,1,1,2024-06-18,,,2.707,149.356,793.232,0.872
171,1,1,1,2024-06-19,,,1.51,107.914,1058.343,0.836
172,1,1,1,2024-06-20,,,1.113,89.355,1005.801,0.947
173,1,1,1,2024-06-21,,,3.581,103.083,894.735,0.905
174,1,1,1,2024-06-22,,,3.093,136.2,944.755,0.718
175,1,1,1,2024-06-23,,,2.041,101.556,1051.268,0.742
176,1,1,1,2024-06-24,,,0.0,78.387,1279.204,0.799
177,1,1,1,2024-06-25,,,2.386,86.622,1067.542,0.926
178,1,1,1,2024-06-26,,,3.544,133.822,793.478,1.076
179,1,1,1,2024-06-27,,,2.569,141.865,1300.56,0.88
180,1,1,1,2024-06-28,,,3.966,127.094,787.781,0.957
181,1,1,1,2024-06-29,,,2.601,133.556,957.972,0.919
182,1,1,1,2024-06-30,,,1.905,139.265,1025.376,0.942
183,1,1,1,2024-07-01,,,2.283,119.901,927.267,1.057
184,1,1,1,2024-07-02,,,1.467,122.786,1313.725,1.003
185,1,1,1,2024-07-03,,,3.359,123.022,929.886,0.815
186,1,1,1,2024-07-04,,,3.283,163.607,1126.728,0.735
187,1,1,1,2024-07-05,,,1.773,96.03,1161.991,0.934
188,1,1,1,2024-07-06,,,2.189,120.973,1344.496,0.938
189,1,1,1,2024-07-07,,,3.388,99.743,911.697,0.804
190,1,1,1,2024-07-08,,,2.028,115.808,1100.451,0.858
191,1,1,1,2024-07-09,,,4.089,141.024,1038.489,0.878
192,1,1,1,2024-07-10,,,0.846,135.465,908.825,0.685
193,1,1,1,2024-07-11,,,2.796,112.369,936.597,0.76
194,1,1,1,2024-07-12,,,1.625,130.088,818.548,0.748
195,1,1,1,2024-07-13,,,1.206,111.472,1018.505,0.991
196,1,1,1,2024-07-14,,,1.324,121.785,764.477,7.909
197,1,1,1,2024-07-15,,,2.427,108.147,928.91,0.785
198,1,1,1,2024-07-16,,,3.156,105.706,993.121,0.805
199,1,1,1,2024-07-17,,,2.565,95.107,776.459,0.788
200,1,1,1,2024-07-18,,,2.752,92.695,829.254,0.875
201,1,1,1,2024-07-19,,,1.646,129.665,764.556,0.796
202,1,1,1,2024-07-20,,,0.783,111.975,976.791,0.968
203,1,1,1,2024-07-21,,,3.383,107.327,942.5,0.87
204,1,1,1,2024-07-22,,,3.719,96.935,9614.059,1.005
205,1,1,1,2024-07-23,,,1.401,105.201,996.667,0.891
206,1,1,1,2024-07-24,,,3.5,127.414,638.653,0.808
207,1,1,1,2024-07-25,,,0.0,132.742,1306.583,0.792
208,1,1,1,2024-07-26,,,2.383,136.591,1012.933,0.819
209,1,1,1,2024-07-27,,,1.809,134.621,968.106,0.89
210,1,1,1,2024-07-28,,,1.489,134.011,1096.751,1.031
211,1,1,1,2024-07-29,,,2.238,113.944,1010.788,0.842
212,1,1,1,2024-07-30,,,1.857,131.828,913.829,0.921
213,1,1,1,2024-07-31,,,3.155,125.706,1202.708,0.856
214,1,1,1,2024-08-01,,,2.409,80.44,1080.897,0.924
215,1,1,1,2024-08-02,,,4.145,107.823,1069.617,0.857
216,1,1,1,2024-08-03,,,2.533,123.556,925.622,0.854
217,1,1,1,2024-08-04,,,2.052,107.991,1378.627,0.79
218,1,1,1,2024-08-05,,,1.987,140.969,932.332,0.896
219,1,1,1,2024-08-06,,,1.293,138.006,861.817,0.898
220,1,1,1,2024-08-07,,,2.187,134.587,990.494,0.771
221,1,1,1,2024-08-08,,,1.521,128.46,1028.283,0.687
222,1,1,1,2024-08-09,,,4.041,102.684,1106.542,0.805
223,1,1,1,2024-08-10,,,2.038,115.603,1196.268,0.836
224,1,1,1,2024-08-11,,,4.432,96.284,649.662,0.797
225,1,1,1,2024-08-12,,,2.857,137.474,1342.096,0.898
226,1,1,1,2024-08-13,,,3.314,139.204,879.917,0.873
227,1,1,1,2024-08-14,,,2.894,123.125,1460.153,0.993
228,1,1,1,2024-08-15,,,2.123,141.222,1094.14,0.788
229,1,1,1,2024-08-16,,,2.074,159.832,1037.336,0.725
230,1,1,1,2024-08-17,,,2.824,135.056,954.077,0.871
231,1,1,1,2024-08-18,,,8.713,117.83,870.545,0.843
232,1,1,1,2024-08-19,,,2.001,117.214,907.147,0.853
233,1,1,1,2024-08-20,,,0.922,117.748,1111.817,0.801
234,1,1,1,2024-08-21,,,2.041,101.848,870.005,0.947
235,1,1,1,2024-08-22,,,3.437,109.042,771.929,1.002
236,1,1,1,2024-08-23,,,1.732,135.752,979.847,0.836
237,1,1,1,2024-08-24,,,1.95,130.232,1099.224,0.895
238,1,1,1,2024-08-25,,,4.713,153.172,906.745,0.801
239,1,1,1,2024-08-26,,,3.252,129.103,1017.493,0.714
240,1,1,1,2024-08-27,,,3.772,101.797,1155.008,0.779
241,1,1,1,2024-08-28,,,3.24,102.918,960.685,0.878
242,1,1,1,2024-08-29,,,2.581,144.845,955.421,0.855
243,1,1,1,2024-08-30,,,2.872,119.551,763.682,0.899
244,1,1,1,2024-08-31,,,1.324,119.149,1204.187,0.793
245,1,1,1,2024-09-01,,,2.562,122.914,1212.533,0.843
246,1,1,1,2024-09-02,,,1.443,111.73,918.851,0.735
247,1,1,1,2024-09-03,,,4.141,80.312,1006.605,0.967
248,1,1,1,2024-09-04,,,2.225,17.884,1039.774,0.911
249,1,1,1,2024-09-05,,,3.383,138.126,1067.362,0.894
250,1,1,1,2024-09-06,,,2.293,10.251,1255.249,0.843
251,1,1,1,2024-09-07,,,1.625,112.564,877.824,0.857
252,1,1,1,2024-09-08,,,4.177,94.314,1596.573,0.881
253,1,1,1,2024-09-09,,,1.98,124.04,1049.224,0.747
254,1,1,1,2024-09-10,,,3.392,87.674,865.056,0.718
255,1,1,1,2024-09-11,,,0.643,102.751,1088.967,0.806
256,1,1,1,2024-09-12,,,3.614,125.31,821.046,0.766
257,1,1,1,2024-09-13,,,2.557,128.233,1223.949,0.829
258,1,1,1,2024-09-14,,,2.632,123.013,764.71,0.732
259,1,1,1,2024-09-15,,,2.819,135.663,742.821,0.767
260,1,1,1,2024-09-16,,,2.845,121.865,1181.162,0.867
261,1,1,1,2024-09-17,,,2.102,152.416,1008.783,0.855
262,1,1,1,2024-09-18,,,2.361,134.806,1379.39,0.718
263,1,1,1,2024-09-19,,,1.492,113.981,740.736,9.958
264,1,1,1,2024-09-20,,,3.612,84.035,667.305,0.786
265,1,1,1,2024-09-21,,,2.585,136.086,1367.302,0.93
266,1,1,1,2024-09-22,,,2.774,140.167,815.389,0.989
267,1,1,1,2024-09-23,,,1.63,107.647,931.664,0.808
268,1,1,1,2024-09-24,,,3.432,160.281,1127.37,0.865
269,1,1,1,2024-09-25,,,2.205,131.677,1320.135,0.776
270,1,1,1,2024-09-26,,,4.132,119.33,1073.969,0.838
271,1,1,1,2024-09-27,,,2.504,100.792,1233.645,0.911
272,1,1,1,2024-09-28,,,2.118,140.031,1245.364,0.816
273,1,1,1,2024-09-29,,,3.33,121.893,638.601,0.763
274,1,1,1,2024-09-30,,,3.747,102.482,1137.099,0.755
275,1,1,1,2024-10-01,,,3.044,119.504,801.588,0.872
276,1,1,1,2024-10-02,,,2.813,149.733,615.682,0.885
277,1,1,1,2024-10-03,,,2.718,109.251,1401.246,0.843
278,1,1,1,2024-10-04,,,4.444,129.689,652.155,0.858
279,1,1,1,2024-10-05,,,2.372,114.336,681.11,0.747
280,1,1,1,2024-10-06,,,1.643,96.185,1269.149,0.867
281,1,1,1,2024-10-07,,,2.833,118.651,678.821,0.843
282,1,1,1,2024-10-08,,,3.272,96.768,978.233,0.877
283,1,1,1,2024-10-09,,,3.1,167.475,1006.782,0.696
284,1,1,1,2024-10-10,,,2.954,115.877,940.859,0.81
285,1,1,1,2024-10-11,,,3.769,138.199,841.164,0.849
286,1,1,1,2024-10-12,,,31.926,105.922,1003.391,0.869
287,1,1,1,2024-10-13,,,2.485,143.269,701.162,0.777
288,1,1,1,2024-10-14,,,2.765,114.126,894.355,0.77
289,1,1,1,2024-10-15,,,2.341,92.524,1069.445,0.817
290,1,1,1,2024-10-16,,,1.805,142.37,1081.636,1.02
291,1,1,1,2024-10-17,,,2.022,106.334,1089.855,0.729
292,1,1,1,2024-10-18,,,1.59,86.795,783.677,0.848
293,1,1,1,2024-10-19,,,4.166,116.575,1031.467,0.911
294,1,1,1,2024-10-20,,,0.368,149.749,959.481,0.974
295,1,1,1,2024-10-21,,,3.639,117.316,973.01,0.984
296,1,1,1,2024-10-22,,,1.729,81.433,1273.669,0.877
297,1,1,1,2024-10-23,,,2.4,113.484,1159.693,0.899
298,1,1,1,2024-10-24,,,3.157,145.588,1342.2,0.815
299,1,1,1,2024-10-25,,,0.0,152.276,1088.211,0.83
300,1,1,1,2024-10-26,,,2.302,100.752,1177.998,1.074
301,1,1,1,2024-10-27,,,0.631,125.786,962.801,0.832
302,1,1,1,2024-10-28,,,3.849,116.915,1218.401,0.914
303,1,1,1,2024-10-29,,,2.809,97.569,613.254,0.834
304,1,1,1,2024-10-30,,,1.907,97.355,737.009,0.85
305,1,1,1,2024-10-31,,,3.678,92.88,1045.67,0.84
306,1,1,1,2024-11-01,,,2.792,11.165,612.372,0.772
307,1,1,1,2024-11-02,,,3.446,117.415,1030.265,1.05
308,1,1,1,2024-11-03,,,1.388,138.326,1053.901,0.826
309,1,1,1,2024-11-04,,,3.365,151.688,1033.868,0.781
310,1,1,1,2024-11-05,,,1.221,115.107,1207.818,0.906
311,1,1,1,2024-11-06,,,2.674,77.728,779.711,0.827
312,1,1,1,2024-11-07,,,1.701,117.558,945.795,0.954
313,1,1,1,2024-11-08,,,32.616,116.887,819.988,0.824
314,1,1,1,2024-11-09,,,2.31,118.553,1126.038,0.906
315,1,1,1,2024-11-10,,,1.698,110.85,832.33,0.774
316,1,1,1,2024-11-11,,,0.286,131.889,830.003,0.898
317,1,1,1,2024-11-12,,,1.645,122.847,1395.644,0.834
318,1,1,1,2024-11-13,,,3.152,104.056,874.519,0.902
319,1,1,1,2024-11-14,,,1.364,108.232,1246.849,0.873
320,1,1,1,2024-11-15,,,3.187,99.887,1138.131,0.927
321,1,1,1,2024-11-16,,,1.56,89.574,1257.891,0.843
322,1,1,1,2024-11-17,,,1.771,145.33,951.14,0.871
323,1,1,1,2024-11-18,,,1.212,156.583,957.387,0.753
324,1,1,1,2024-11-19,,,2.858,130.574,378.631,0.823
325,1,1,1,2024-11-20,,,3.637,101.282,1325.312,0.874
326,1,1,1,2024-11-21,,,2.159,127.981,902.983,0.887
327,1,1,1,2024-11-22,,,2.067,112.813,1307.957,0.827
328,1,1,1,2024-11-23,,,2.633,132.135,1061.175,0.909
329,1,1,1,2024-11-24,,,1.514,154.613,585.988,0.9
330,1,1,1,2024-11-25,,,2.854,143.97,1074.109,0.895
331,1,1,1,2024-11-26,,,2.224,133.294,914.249,0.821
332,1,1,1,2024-11-27,,,3.267,108.793,1186.178,0.671
333,1,1,1,2024-11-28,,,2.01,133.688,908.096,0.696
334,1,1,1,2024-11-29,,,3.628,105.636,1301.107,0.783
335,1,1,1,2024-11-30,,,0.0,128.836,893.125,0.798
336,1,1,1,2024-12-01,,,1.928,135.459,816.833,0.913
337,1,1,1,2024-12-02,,,2.631,102.065,6824.907,0.982
338,1,1,1,2024-12-03,,,2.988,1292.54,1145.215,0.682
339,1,1,1,2024-12-04,,,4.089,129.68,1154.79,0.79
340,1,1,1,2024-12-05,,,1.749,99.049,911.771,0.921
341,1,1,1,2024-12-06,,,1.53,131.585,808.573,0.906
342,1,1,1,2024-12-07,,,1.156,120.178,1442.714,0.825
343,1,1,1,2024-12-08,,,2.46,109.551,1117.627,0.893
344,1,1,1,2024-12-09,,,1.66,116.644,78.136,0.894
345,1,1,1,2024-12-10,,,1.759,136.396,1165.798,0.983
346,1,1,1,2024-12-11,,,3.103,129.818,1009.38,1.014
347,1,1,1,2024-12-12,,,1.707,107.25,1181.314,0.907
348,1,1,1,2024-12-13,,,1.134,166.666,1167.595,0.792
349,1,1,1,2024-12-14,,,1.797,136.749,1101.182,0.815
350,1,1,1,2024-12-15,,,2.935,145.663,844.253,0.737
351,1,1,1,2024-12-16,,,1.643,99.988,698.028,0.884
352,1,1,1,2024-12-17,,,2.101,122.366,1105.182,0.897
353,1,1,1,2024-12-18,,,2.665,118.478,1025.126,1.055
354,1,1,1,2024-12-19,,,2.975,95.369,721.566,0.663
355,1,1,1,2024-12-20,,,2.382,117.538,758.847,0.812
356,1,1,1,2024-12-21,,,3.766,147.887,850.535,0.88
357,1,1,1,2024-12-22,,,1.586,117.265,1163.645,0.83
358,1,1,1,2024-12-23,,,2.938,95.936,638.238,0.815
359,1,1,1,2024-12-24,,,1.394,124.26,860.814,0.811
360,1,1,1,2024-12-25,,,2.618,119.574,1091.562,0.826
361,1,1,1,2024-12-26,,,3.401,137.75,924.733,0.882
362,1,1,1,2024-12-27,,,2.645,133.89,730.197,0.846
363,1,1,1,2024-12-28,,,4.344,149.484,972.89,0.79
364,1,1,1,2024-12-29,,,3.097,129.568,1311.801,0.684
365,1,1,1,2024-12-30,,,3.082,139.993,1114.482,0.805
366,1,1,1,2024-12-31,,,2.076,14.419,1053.009,0.916
