param_id,equipment_id,parameter_category,parameter_name,parameter_value,timestamp
55,1001,emissions,CH4,16.828,2024-01-24
56,1001,emissions,CH4,10.512,2024-01-25
57,1001,emissions,CH4,9.213,2024-01-26
58,1001,emissions,CH4,10.803,2024-01-27
59,1001,emissions,CH4,10.138,2024-01-28
60,1001,emissions,CH4,5.945,2024-01-29
61,1001,emissions,CH4,43.837,2024-01-30
62,1001,emissions,CH4,2.11,2024-01-31
63,1001,emissions,NOx,193.432,2024-01-01
64,1001,emissions,NOx,164.157,2024-01-02
65,1001,emissions,NOx,139.062,2024-01-03
66,1001,emissions,NOx,255.717,2024-01-04
67,1001,emissions,NOx,101.393,2024-01-05
68,1001,emissions,NOx,203.348,2024-01-06
69,1001,emissions,NOx,93.805,2024-01-07
70,1001,emissions,NOx,165.698,2024-01-08
71,1001,emissions,NOx,121.29,2024-01-09
72,1001,emissions,NOx,177.018,2024-01-10
73,1001,emissions,NOx,162.412,2024-01-11
74,1001,emissions,NOx,209.34,2024-01-12
75,1001,emissions,NOx,163.952,2024-01-13
76,1001,emissions,NOx,253.977,2024-01-14
77,1001,emissions,NOx,137.125,2024-01-15
78,1001,emissions,NOx,233.027,2024-01-16
79,1001,emissions,NOx,202.495,2024-01-17
80,1001,emissions,NOx,176.661,2024-01-18
81,1001,emissions,NOx,146.04,2024-01-19
82,1001,emissions,NOx,186.793,2024-01-20
83,1001,emissions,NOx,163.948,2024-01-21
84,1001,emissions,NOx,112.741,2024-01-22
85,1001,emissions,NOx,152.25,2024-01-23
86,1001,emissions,NOx,55.672,2024-01-24
87,1001,emissions,NOx,144.173,2024-01-25
88,1001,emissions,NOx,49.949,2024-01-26
89,1001,emissions,NOx,127.574,2024-01-27
90,1001,emissions,NOx,263.806,2024-01-28
91,1001,emissions,NOx,209.887,2024-01-29
92,1001,emissions,NOx,4.444,2024-01-30
93,1001,emissions,NOx,147.198,2024-01-31
94,1001,emissions,SOx,92.026,2024-01-01
95,1001,emissions,SOx,91.225,2024-01-02
96,1001,emissions,SOx,67.888,2024-01-03
97,1001,emissions,SOx,80.147,2024-01-04
98,1001,emissions,SOx,79.116,2024-01-05
99,1001,emissions,SOx,106.044,2024-01-06
100,1001,emissions,SOx,79.866,2024-01-07
101,1001,emissions,SOx,132.659,2024-01-08
102,1001,emissions,SOx,114.959,2024-01-09
103,1001,emissions,SOx,77.585,2024-01-10
104,1001,emissions,SOx,106.607,2024-01-11
105,1001,emissions,SOx,109.306,2024-01-12
106,1001,emissions,SOx,149.747,2024-01-13
107,1001,emissions,SOx,120.234,2024-01-14
108,1001,emissions,SOx,510.76,2024-01-15
109,1001,emissions,SOx,90.172,2024-01-16
110,1001,emissions,SOx,71.164,2024-01-17
111,1001,emissions,SOx,57.914,2024-01-18
112,1001,emissions,SOx,196.11,2024-01-19
113,1001,emissions,SOx,91.745,2024-01-20
114,1001,emissions,SOx,88.681,2024-01-21
115,1001,emissions,SOx,169.925,2024-01-22
116,1001,emissions,SOx,124.245,2024-01-23
117,1001,emissions,SOx,117.672,2024-01-24
118,1001,emissions,SOx,119.984,2024-01-25
119,1001,emissions,SOx,109.295,2024-01-26
120,1001,emissions,SOx,111.878,2024-01-27
121,1001,emissions,SOx,116.34,2024-01-28
122,1001,emissions,SOx,142.883,2024-01-29
123,1001,emissions,SOx,102.49,2024-01-30
124,1001,emissions,SOx,99.671,2024-01-31
125,1001,emissions,PM10,63.638,2024-01-01
126,1001,emissions,PM10,45.914,2024-01-02
127,1001,emissions,PM10,25.636,2024-01-03
128,1001,emissions,PM10,55.339,2024-01-04
129,1001,emissions,PM10,7.408,2024-01-05
130,1001,emissions,PM10,30.122,2024-01-06
131,1001,emissions,PM10,67.737,2024-01-07
132,1001,emissions,PM10,41.283,2024-01-08
133,1001,emissions,PM10,49.158,2024-01-09
134,1001,emissions,PM10,16.328,2024-01-10
135,1001,emissions,PM10,53.392,2024-01-11
136,1001,emissions,PM10,26.945,2024-01-12
137,1001,emissions,PM10,64.507,2024-01-13
138,1001,emissions,PM10,46.374,2024-01-14
139,1001,emissions,PM10,21.122,2024-01-15
140,1001,emissions,PM10,44.842,2024-01-16
141,1001,emissions,PM10,26.719,2024-01-17
142,1001,emissions,PM10,39.044,2024-01-18
143,1001,emissions,PM10,44.133,2024-01-19
144,1001,emissions,PM10,37.074,2024-01-20
145,1001,emissions,PM10,39.944,2024-01-21
146,1001,emissions,PM10,39.709,2024-01-22
147,1001,emissions,PM10,34.688,2024-01-23
148,1001,emissions,PM10,66.0,2024-01-24
149,1001,emissions,PM10,43.703,2024-01-25
150,1001,emissions,PM10,47.389,2024-01-26
151,1001,emissions,PM10,59.162,2024-01-27
152,1001,emissions,PM10,56.558,2024-01-28
153,1001,emissions,PM10,53.217,2024-01-29
154,1001,emissions,PM10,45.351,2024-01-30
155,1001,emissions,PM10,60.348,2024-01-31
156,1001,emissions,PM2.5,41.306,2024-01-01
157,1001,emissions,PM2.5,14.905,2024-01-02
158,1001,emissions,PM2.5,25.754,2024-01-03
159,1001,emissions,PM2.5,33.923,2024-01-04
160,1001,emissions,PM2.5,31.6,2024-01-05
161,1001,emissions,PM2.5,34.734,2024-01-06
162,1001,emissions,PM2.5,50.721,2024-01-07
163,1001,emissions,PM2.5,28.767,2024-01-08
164,1001,emissions,PM2.5,32.745,2024-01-09
165,1001,emissions,PM2.5,37.126,2024-01-10
166,1001,emissions,PM2.5,29.446,2024-01-11
167,1001,emissions,PM2.5,41.859,2024-01-12
168,1001,emissions,PM2.5,22.881,2024-01-13
169,1001,emissions,PM2.5,27.366,2024-01-14
170,1001,emissions,PM2.5,4.894,2024-01-15
171,1001,emissions,PM2.5,29.322,2024-01-16
172,1001,emissions,PM2.5,20.538,2024-01-17
173,1001,emissions,PM2.5,7.726,2024-01-18
174,1001,emissions,PM2.5,26.619,2024-01-19
175,1001,emissions,PM2.5,29.682,2024-01-20
176,1001,emissions,PM2.5,24.109,2024-01-21
177,1001,emissions,PM2.5,36.994,2024-01-22
178,1001,emissions,PM2.5,26.279,2024-01-23
179,1001,emissions,PM2.5,42.993,2024-01-24
180,1001,emissions,PM2.5,-5.061,2024-01-25
181,1001,emissions,PM2.5,42.42,2024-01-26
182,1001,emissions,PM2.5,60.246,2024-01-27
183,1001,emissions,PM2.5,28.187,2024-01-28
184,1001,emissions,PM2.5,28.264,2024-01-29
185,1001,emissions,PM2.5,23.325,2024-01-30
186,1001,emissions,PM2.5,31.181,2024-01-31
187,1001,water,pH,7.795,2024-01-01
188,1001,water,pH,8.202,2024-01-02
189,1001,water,pH,7.513,2024-01-03
190,1001,water,pH,8.218,2024-01-04
191,1001,water,pH,7.837,2024-01-05
192,1001,water,pH,7.842,2024-01-06
193,1001,water,pH,6.247,2024-01-07
194,1001,water,pH,8.444,2024-01-08
195,1001,water,pH,7.578,2024-01-09
196,1001,water,pH,6.888,2024-01-10
197,1001,water,pH,8.016,2024-01-11
198,1001,water,pH,8.706,2024-01-12
199,1001,water,pH,7.459,2024-01-13
200,1001,water,pH,7.158,2024-01-14
201,1001,water,pH,8.513,2024-01-15
202,1001,water,pH,7.257,2024-01-16
203,1001,water,pH,7.211,2024-01-17
204,1001,water,pH,7.691,2024-01-18
205,1001,water,pH,8.053,2024-01-19
206,1001,water,pH,7.738,2024-01-20
207,1001,water,pH,7.836,2024-01-21
208,1001,water,pH,7.349,2024-01-22
209,1001,water,pH,8.313,2024-01-23
210,1001,water,pH,7.307,2024-01-24
211,1001,water,pH,7.329,2024-01-25
212,1001,water,pH,7.96,2024-01-26
213,1001,water,pH,7.213,2024-01-27
214,1001,water,pH,6.863,2024-01-28
215,1001,water,pH,7.233,2024-01-29
216,1001,water,pH,8.121,2024-01-30
217,1001,water,pH,7.813,2024-01-31
218,1001,water,turbidity,1.7,2024-01-01
219,1001,water,turbidity,3.929,2024-01-02
220,1001,water,turbidity,3.909,2024-01-03
221,1001,water,turbidity,11.614,2024-01-04
222,1001,water,turbidity,35.862,2024-01-05
223,1001,water,turbidity,2.972,2024-01-06
224,1001,water,turbidity,4.404,2024-01-07
225,1001,water,turbidity,5.014,2024-01-08
226,1001,water,turbidity,5.895,2024-01-09
227,1001,water,turbidity,7.291,2024-01-10
228,1001,water,turbidity,4.099,2024-01-11
229,1001,water,turbidity,0.332,2024-01-12
230,1001,water,turbidity,1.748,2024-01-13
231,1001,water,turbidity,2.697,2024-01-14
232,1001,water,turbidity,5.169,2024-01-15
233,1001,water,turbidity,3.24,2024-01-16
234,1001,water,turbidity,16.02,2024-01-17
235,1001,water,turbidity,3.98,2024-01-18
236,1001,water,turbidity,3.77,2024-01-19
237,1001,water,turbidity,2.012,2024-01-20
238,1001,water,turbidity,9.175,2024-01-21
239,1001,water,turbidity,16.122,2024-01-22
240,1001,water,turbidity,2.737,2024-01-23
241,1001,water,turbidity,18.1,2024-01-24
242,1001,water,turbidity,1.518,2024-01-25
243,1001,water,turbidity,5.115,2024-01-26
244,1001,water,turbidity,4.522,2024-01-27
245,1001,water,turbidity,2.806,2024-01-28
246,1001,water,turbidity,2.28,2024-01-29
247,1001,water,turbidity,5.629,2024-01-30
248,1001,water,turbidity,0.817,2024-01-31
249,1001,water,dissolved_oxygen,11.051,2024-01-01
250,1001,water,dissolved_oxygen,8.374,2024-01-02
251,1001,water,dissolved_oxygen,7.483,2024-01-03
252,1001,water,dissolved_oxygen,9.055,2024-01-04
253,1001,water,dissolved_oxygen,7.62,2024-01-05
254,1001,water,dissolved_oxygen,9.137,2024-01-06
255,1001,water,dissolved_oxygen,7.61,2024-01-07
256,1001,water,dissolved_oxygen,9.075,2024-01-08
257,1001,water,dissolved_oxygen,9.329,2024-01-09
258,1001,water,dissolved_oxygen,6.412,2024-01-10
259,1001,water,dissolved_oxygen,8.94,2024-01-11
260,1001,water,dissolved_oxygen,7.563,2024-01-12
261,1001,water,dissolved_oxygen,9.775,2024-01-13
262,1001,water,dissolved_oxygen,8.747,2024-01-14
263,1001,water,dissolved_oxygen,7.931,2024-01-15
264,1001,water,dissolved_oxygen,6.609,2024-01-16
265,1001,water,dissolved_oxygen,7.754,2024-01-17
266,1001,water,dissolved_oxygen,9.464,2024-01-18
267,1001,water,dissolved_oxygen,7.126,2024-01-19
268,1001,water,dissolved_oxygen,1.638,2024-01-20
269,1001,water,dissolved_oxygen,9.687,2024-01-21
270,1001,water,dissolved_oxygen,11.779,2024-01-22
271,1001,water,dissolved_oxygen,10.523,2024-01-23
272,1001,water,dissolved_oxygen,10.32,2024-01-24
273,1001,water,dissolved_oxygen,11.829,2024-01-25
274,1001,water,dissolved_oxygen,5.897,2024-01-26
275,1001,water,dissolved_oxygen,8.232,2024-01-27
276,1001,water,dissolved_oxygen,6.883,2024-01-28
277,1001,water,dissolved_oxygen,7.004,2024-01-29
278,1001,water,dissolved_oxygen,7.322,2024-01-30
279,1001,water,dissolved_oxygen,4.546,2024-01-31
280,1001,water,temperature,14.744,2024-01-01
281,1001,water,temperature,13.903,2024-01-02
282,1001,water,temperature,15.047,2024-01-03
283,1001,water,temperature,14.899,2024-01-04
284,1001,water,temperature,10.21,2024-01-05
285,1001,water,temperature,19.47,2024-01-06
286,1001,water,temperature,17.221,2024-01-07
287,1001,water,temperature,15.11,2024-01-08
288,1001,water,temperature,15.771,2024-01-09
289,1001,water,temperature,15.195,2024-01-10
290,1001,water,temperature,14.835,2024-01-11
291,1001,water,temperature,20.116,2024-01-12
292,1001,water,temperature,13.543,2024-01-13
293,1001,water,temperature,16.385,2024-01-14
294,1001,water,temperature,18.142,2024-01-15
295,1001,water,temperature,17.275,2024-01-16
296,1001,water,temperature,18.883,2024-01-17
297,1001,water,temperature,15.066,2024-01-18
298,1001,water,temperature,18.561,2024-01-19
299,1001,water,temperature,20.151,2024-01-20
300,1001,water,temperature,17.108,2024-01-21
301,1001,water,temperature,19.69,2024-01-22
302,1001,water,temperature,86.89,2024-01-23
303,1001,water,temperature,15.94,2024-01-24
304,1001,water,temperature,17.939,2024-01-25
305,1001,water,temperature,18.494,2024-01-26
306,1001,water,temperature,21.06,2024-01-27
307,1001,water,temperature,23.213,2024-01-28
308,1001,water,temperature,15.578,2024-01-29
309,1001,water,temperature,20.176,2024-01-30
310,1001,water,temperature,19.067,2024-01-31
311,1001,water,conductivity,403.456,2024-01-01
312,1001,water,conductivity,619.981,2024-01-02
313,1001,water,conductivity,82.09,2024-01-03
314,1001,water,conductivity,499.136,2024-01-04
315,1001,water,conductivity,445.81,2024-01-05
316,1001,water,conductivity,529.096,2024-01-06
317,1001,water,conductivity,499.361,2024-01-07
318,1001,water,conductivity,535.113,2024-01-08
319,1001,water,conductivity,525.611,2024-01-09
320,1001,water,conductivity,685.627,2024-01-10
321,1001,water,conductivity,496.35,2024-01-11
322,1001,water,conductivity,496.135,2024-01-12
323,1001,water,conductivity,564.708,2024-01-13
324,1001,water,conductivity,430.983,2024-01-14
325,1001,water,conductivity,382.969,2024-01-15
326,1001,water,conductivity,475.324,2024-01-16
327,1001,water,conductivity,557.037,2024-01-17
328,1001,water,conductivity,481.416,2024-01-18
329,1001,water,conductivity,398.673,2024-01-19
330,1001,water,conductivity,645.855,2024-01-20
331,1001,water,conductivity,712.731,2024-01-21
332,1001,water,conductivity,603.324,2024-01-22
333,1001,water,conductivity,104.233,2024-01-23
334,1001,water,conductivity,434.315,2024-01-24
335,1001,water,conductivity,520.016,2024-01-25
336,1001,water,conductivity,546.255,2024-01-26
337,1001,water,conductivity,614.582,2024-01-27
338,1001,water,conductivity,546.231,2024-01-28
339,1001,water,conductivity,2389.945,2024-01-29
340,1001,water,conductivity,421.426,2024-01-30
341,1001,water,conductivity,709.063,2024-01-31
342,1001,water,total_suspended_solids,5.607,2024-01-01
343,1001,water,total_suspended_solids,12.328,2024-01-02
344,1001,water,total_suspended_solids,34.605,2024-01-03
345,1001,water,total_suspended_solids,48.663,2024-01-04
346,1001,water,total_suspended_solids,29.55,2024-01-05
347,1001,water,total_suspended_solids,41.31,2024-01-06
348,1001,water,total_suspended_solids,132.341,2024-01-07
349,1001,water,total_suspended_solids,24.518,2024-01-08
350,1001,water,total_suspended_solids,56.445,2024-01-09
351,1001,water,total_suspended_solids,92.564,2024-01-10
352,1001,water,total_suspended_solids,244.145,2024-01-11
353,1001,water,total_suspended_solids,9.477,2024-01-12
354,1001,water,total_suspended_solids,11.099,2024-01-13
355,1001,water,total_suspended_solids,53.72,2024-01-14
356,1001,water,total_suspended_solids,13.685,2024-01-15
357,1001,water,total_suspended_solids,35.458,2024-01-16
358,1001,water,total_suspended_solids,32.752,2024-01-17
359,1001,water,total_suspended_solids,9.568,2024-01-18
360,1001,water,total_suspended_solids,16.815,2024-01-19
361,1001,water,total_suspended_solids,33.93,2024-01-20
362,1001,water,total_suspended_solids,7.753,2024-01-21
363,1001,water,total_suspended_solids,34.921,2024-01-22
364,1001,water,total_suspended_solids,8.005,2024-01-23
365,1001,water,total_suspended_solids,48.778,2024-01-24
366,1001,water,total_suspended_solids,86.231,2024-01-25
367,1001,water,total_suspended_solids,2.582,2024-01-26
368,1001,water,total_suspended_solids,9.629,2024-01-27
369,1001,water,total_suspended_solids,16.672,2024-01-28
370,1001,water,total_suspended_solids,152.771,2024-01-29
371,1001,water,total_suspended_solids,2.499,2024-01-30
372,1001,water,total_suspended_solids,4.338,2024-01-31
373,1002,emissions,CO2,4272.457,2024-01-01
374,1002,emissions,CO2,25091.215,2024-01-02
375,1002,emissions,CO2,5086.786,2024-01-03
376,1002,emissions,CO2,4865.47,2024-01-04
377,1002,emissions,CO2,5047.851,2024-01-05
378,1002,emissions,CO2,3854.974,2024-01-06
379,1002,emissions,CO2,3598.149,2024-01-07
380,1002,emissions,CO2,6153.437,2024-01-08
381,1002,emissions,CO2,4226.972,2024-01-09
382,1002,emissions,CO2,3684.74,2024-01-10
383,1002,emissions,CO2,5580.216,2024-01-11
384,1002,emissions,CO2,5549.464,2024-01-12
385,1002,emissions,CO2,6548.531,2024-01-13
386,1002,emissions,CO2,4016.732,2024-01-14
387,1002,emissions,CO2,2399.659,2024-01-15
388,1002,emissions,CO2,4533.672,2024-01-16
389,1002,emissions,CO2,5196.757,2024-01-17
390,1002,emissions,CO2,4405.428,2024-01-18
391,1002,emissions,CO2,4772.097,2024-01-19
392,1002,emissions,CO2,5146.627,2024-01-20
393,1002,emissions,CO2,6319.669,2024-01-21
394,1002,emissions,CO2,3429.29,2024-01-22
395,1002,emissions,CO2,5705.269,2024-01-23
396,1002,emissions,CO2,4429.898,2024-01-24
397,1002,emissions,CO2,3456.906,2024-01-25
398,1002,emissions,CO2,6681.321,2024-01-26
399,1002,emissions,CO2,3504.884,2024-01-27
400,1002,emissions,CO2,4048.146,2024-01-28
401,1002,emissions,CO2,4733.565,2024-01-29
402,1002,emissions,CO2,5776.508,2024-01-30
403,1002,emissions,CO2,4609.52,2024-01-31
404,1002,emissions,CH4,4.143,2024-01-01
405,1002,emissions,CH4,12.11,2024-01-02
406,1002,emissions,CH4,20.438,2024-01-03
407,1002,emissions,CH4,36.946,2024-01-04
408,1002,emissions,CH4,6.967,2024-01-05
409,1002,emissions,CH4,65.327,2024-01-06
410,1002,emissions,CH4,3.077,2024-01-07
411,1002,emissions,CH4,10.742,2024-01-08
412,1002,emissions,CH4,8.888,2024-01-09
413,1002,emissions,CH4,24.089,2024-01-10
414,1002,emissions,CH4,39.794,2024-01-11
415,1002,emissions,CH4,18.445,2024-01-12
416,1002,emissions,CH4,10.059,2024-01-13
417,1002,emissions,CH4,9.33,2024-01-14
418,1002,emissions,CH4,3.667,2024-01-15
419,1002,emissions,CH4,5.877,2024-01-16
420,1002,emissions,CH4,17.954,2024-01-17
421,1002,emissions,CH4,8.269,2024-01-18
422,1002,emissions,CH4,1.753,2024-01-19
423,1002,emissions,CH4,0.594,2024-01-20
424,1002,emissions,CH4,38.925,2024-01-21
425,1002,emissions,CH4,28.395,2024-01-22
426,1002,emissions,CH4,1.588,2024-01-23
427,1002,emissions,CH4,29.46,2024-01-24
428,1002,emissions,CH4,12.759,2024-01-25
429,1002,emissions,CH4,0.003,2024-01-26
430,1002,emissions,CH4,36.377,2024-01-27
431,1002,emissions,CH4,8.744,2024-01-28
432,1002,emissions,CH4,4.192,2024-01-29
433,1002,emissions,CH4,37.936,2024-01-30
434,1002,emissions,CH4,12.738,2024-01-31
435,1002,emissions,NOx,131.251,2024-01-01
436,1002,emissions,NOx,111.143,2024-01-02
437,1002,emissions,NOx,94.567,2024-01-03
438,1002,emissions,NOx,111.045,2024-01-04
439,1002,emissions,NOx,99.667,2024-01-05
440,1002,emissions,NOx,181.225,2024-01-06
441,1002,emissions,NOx,48.783,2024-01-07
442,1002,emissions,NOx,173.642,2024-01-08
443,1002,emissions,NOx,112.473,2024-01-09
444,1002,emissions,NOx,193.407,2024-01-10
445,1002,emissions,NOx,35.628,2024-01-11
446,1002,emissions,NOx,196.551,2024-01-12
447,1002,emissions,NOx,127.662,2024-01-13
448,1002,emissions,NOx,211.891,2024-01-14
449,1002,emissions,NOx,200.038,2024-01-15
450,1002,emissions,NOx,184.77,2024-01-16
451,1002,emissions,NOx,35.317,2024-01-17
452,1002,emissions,NOx,138.192,2024-01-18
453,1002,emissions,NOx,258.46,2024-01-19
454,1002,emissions,NOx,121.224,2024-01-20
455,1002,emissions,NOx,206.734,2024-01-21
456,1002,emissions,NOx,116.612,2024-01-22
457,1002,emissions,NOx,123.836,2024-01-23
458,1002,emissions,NOx,115.983,2024-01-24
459,1002,emissions,NOx,49.962,2024-01-25
460,1002,emissions,NOx,96.844,2024-01-26
461,1002,emissions,NOx,188.249,2024-01-27
462,1002,emissions,NOx,120.862,2024-01-28
463,1002,emissions,NOx,146.159,2024-01-29
464,1002,emissions,NOx,184.737,2024-01-30
465,1002,emissions,NOx,135.629,2024-01-31
466,1002,emissions,SOx,94.515,2024-01-01
467,1002,emissions,SOx,118.72,2024-01-02
468,1002,emissions,SOx,136.527,2024-01-03
469,1002,emissions,SOx,112.413,2024-01-04
470,1002,emissions,SOx,-0.657,2024-01-05
471,1002,emissions,SOx,124.822,2024-01-06
472,1002,emissions,SOx,89.005,2024-01-07
473,1002,emissions,SOx,130.273,2024-01-08
474,1002,emissions,SOx,87.86,2024-01-09
475,1002,emissions,SOx,41.73,2024-01-10
476,1002,emissions,SOx,131.568,2024-01-11
477,1002,emissions,SOx,51.132,2024-01-12
478,1002,emissions,SOx,68.439,2024-01-13
479,1002,emissions,SOx,112.169,2024-01-14
480,1002,emissions,SOx,94.607,2024-01-15
481,1002,emissions,SOx,124.71,2024-01-16
482,1002,emissions,SOx,43.855,2024-01-17
483,1002,emissions,SOx,438.78,2024-01-18
484,1002,emissions,SOx,86.011,2024-01-19
485,1002,emissions,SOx,109.339,2024-01-20
486,1002,emissions,SOx,124.203,2024-01-21
487,1002,emissions,SOx,116.743,2024-01-22
488,1002,emissions,SOx,112.214,2024-01-23
489,1002,emissions,SOx,155.288,2024-01-24
490,1002,emissions,SOx,87.917,2024-01-25
491,1002,emissions,SOx,66.893,2024-01-26
492,1002,emissions,SOx,60.873,2024-01-27
493,1002,emissions,SOx,72.315,2024-01-28
494,1002,emissions,SOx,106.775,2024-01-29
495,1002,emissions,SOx,77.39,2024-01-30
496,1002,emissions,SOx,121.947,2024-01-31
497,1002,emissions,PM10,44.874,2024-01-01
498,1002,emissions,PM10,42.634,2024-01-02
499,1002,emissions,PM10,42.258,2024-01-03
500,1002,emissions,PM10,51.455,2024-01-04
501,1002,emissions,PM10,77.454,2024-01-05
502,1002,emissions,PM10,38.256,2024-01-06
503,1002,emissions,PM10,48.252,2024-01-07
504,1002,emissions,PM10,58.993,2024-01-08
505,1002,emissions,PM10,45.349,2024-01-09
506,1002,emissions,PM10,30.3,2024-01-10
507,1002,emissions,PM10,32.34,2024-01-11
508,1002,emissions,PM10,49.265,2024-01-12
509,1002,emissions,PM10,65.727,2024-01-13
510,1002,emissions,PM10,26.586,2024-01-14
511,1002,emissions,PM10,50.723,2024-01-15
512,1002,emissions,PM10,86.9,2024-01-16
513,1002,emissions,PM10,6.152,2024-01-17
514,1002,emissions,PM10,69.668,2024-01-18
515,1002,emissions,PM10,39.438,2024-01-19
516,1002,emissions,PM10,43.264,2024-01-20
517,1002,emissions,PM10,61.222,2024-01-21
518,1002,emissions,PM10,45.972,2024-01-22
519,1002,emissions,PM10,61.463,2024-01-23
520,1002,emissions,PM10,59.045,2024-01-24
521,1002,emissions,PM10,19.769,2024-01-25
522,1002,emissions,PM10,36.734,2024-01-26
523,1002,emissions,PM10,56.979,2024-01-27
524,1002,emissions,PM10,50.811,2024-01-28
525,1002,emissions,PM10,49.171,2024-01-29
526,1002,emissions,PM10,40.546,2024-01-30
527,1002,emissions,PM10,39.804,2024-01-31
528,1002,emissions,PM2.5,32.547,2024-01-01
529,1002,emissions,PM2.5,7.985,2024-01-02
530,1002,emissions,PM2.5,27.022,2024-01-03
531,1002,emissions,PM2.5,26.743,2024-01-04
532,1002,emissions,PM2.5,26.938,2024-01-05
533,1002,emissions,PM2.5,20.173,2024-01-06
534,1002,emissions,PM2.5,14.034,2024-01-07
535,1002,emissions,PM2.5,35.897,2024-01-08
536,1002,emissions,PM2.5,26.921,2024-01-09
537,1002,emissions,PM2.5,33.627,2024-01-10
538,1002,emissions,PM2.5,35.958,2024-01-11
539,1002,emissions,PM2.5,51.795,2024-01-12
540,1002,emissions,PM2.5,21.605,2024-01-13
541,1002,emissions,PM2.5,18.186,2024-01-14
542,1002,emissions,PM2.5,7.689,2024-01-15
543,1002,emissions,PM2.5,34.423,2024-01-16
544,1002,emissions,PM2.5,6.594,2024-01-17
545,1002,emissions,PM2.5,27.417,2024-01-18
546,1002,emissions,PM2.5,11.993,2024-01-19
547,1002,emissions,PM2.5,29.492,2024-01-20
548,1002,emissions,PM2.5,34.834,2024-01-21
549,1002,emissions,PM2.5,29.463,2024-01-22
550,1002,emissions,PM2.5,33.976,2024-01-23
551,1002,emissions,PM2.5,9.632,2024-01-24
552,1002,emissions,PM2.5,21.204,2024-01-25
553,1002,emissions,PM2.5,16.676,2024-01-26
554,1002,emissions,PM2.5,23.348,2024-01-27
555,1002,emissions,PM2.5,30.808,2024-01-28
556,1002,emissions,PM2.5,52.106,2024-01-29
557,1002,emissions,PM2.5,31.486,2024-01-30
558,1002,emissions,PM2.5,22.27,2024-01-31
559,1002,water,pH,8.185,2024-01-01
560,1002,water,pH,8.43,2024-01-02
561,1002,water,pH,7.973,2024-01-03
562,1002,water,pH,7.698,2024-01-04
563,1002,water,pH,8.09,2024-01-05
564,1002,water,pH,7.473,2024-01-06
565,1002,water,pH,7.222,2024-01-07
566,1002,water,pH,7.301,2024-01-08
567,1002,water,pH,1.396,2024-01-09
568,1002,water,pH,9.384,2024-01-10
569,1002,water,pH,6.969,2024-01-11
570,1002,water,pH,6.92,2024-01-12
571,1002,water,pH,7.185,2024-01-13
572,1002,water,pH,7.1,2024-01-14
573,1002,water,pH,6.938,2024-01-15
574,1002,water,pH,7.688,2024-01-16
